Gene_Name,mean_RNA_G1,mean_RNA_S,mean_RNA_G2,mean_protein_G1,mean_protein_S,mean_protein_G2,GOBP,GOMF,GOCC
MPRIP,11.67508,11.67504667,11.86739,23.68768667,21.69290667,23.06011,,actin binding;binding;cytoskeletal protein binding;protein binding,cell part;cytoplasm;cytoskeleton;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular part;non-membrane-bounded organelle;organelle
DRG2,11.27129333,11.1504,11.35106667,22.89278,20.696065,23.64932667,biological regulation;cellular process;cellular response to stimulus;regulation of biological process;regulation of cellular process;response to stimulus;signal transduction,binding;GTP binding;guanyl nucleotide binding;guanyl ribonucleotide binding;nucleotide binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding,cell part;cytoplasm;intracellular part
TSEN34,9.890164667,9.904585667,9.774918667,24.44893,21.98659667,24.62299333,"cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule metabolic process;metabolic process;mRNA metabolic process;mRNA processing;ncRNA metabolic process;ncRNA processing;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;RNA metabolic process;RNA processing;RNA splicing;RNA splicing, via endonucleolytic cleavage and ligation;tRNA metabolic process;tRNA processing;tRNA splicing, via endonucleolytic cleavage and ligation;tRNA-type intron splice site recognition and cleavage","binding;catalytic activity;endonuclease activity;endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters;endoribonuclease activity;endoribonuclease activity, producing 3'-phosphomonoesters;hydrolase activity;hydrolase activity, acting on ester bonds;nuclease activity;nucleic acid binding;ribonuclease activity;tRNA-intron endonuclease activity;tRNA-specific ribonuclease activity",cell part;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;non-membrane-bounded organelle;nuclear part;nucleolus;organelle;organelle part;protein complex;tRNA-intron endonuclease complex
ZNF593,9.696259333,9.768302333,9.804900667,23.22760333,22.100575,22.83424333,"biological regulation;biosynthetic process;cellular biosynthetic process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;negative regulation of biological process;negative regulation of biosynthetic process;negative regulation of cellular biosynthetic process;negative regulation of cellular macromolecule biosynthetic process;negative regulation of cellular metabolic process;negative regulation of cellular process;negative regulation of gene expression;negative regulation of macromolecule biosynthetic process;negative regulation of macromolecule metabolic process;negative regulation of metabolic process;negative regulation of nitrogen compound metabolic process;negative regulation of nucleobase-containing compound metabolic process;negative regulation of RNA metabolic process;negative regulation of transcription from RNA polymerase II promoter;negative regulation of transcription, DNA-dependent;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;regulation of biological process;regulation of biosynthetic process;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of gene expression;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of RNA metabolic process;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;RNA biosynthetic process;RNA metabolic process;transcription, DNA-dependent",binding;cation binding;DNA binding;ion binding;metal ion binding;nucleic acid binding;protein binding transcription factor activity;transcription cofactor activity;transcription corepressor activity;transcription factor binding transcription factor activity;transition metal ion binding;zinc ion binding,cell part;intracellular;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;non-membrane-bounded organelle;nuclear part;nucleolus;organelle;organelle part
AHR,11.65471,11.98060333,11.77195,18.81932,16.11251667,20.04722,"apoptosis;biological regulation;biosynthetic process;cell cycle;cell death;cellular biosynthetic process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;death;induction of apoptosis;induction of apoptosis by extracellular signals;induction of programmed cell death;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;positive regulation of apoptosis;positive regulation of biological process;positive regulation of cell death;positive regulation of cellular process;positive regulation of programmed cell death;primary metabolic process;programmed cell death;regulation of apoptosis;regulation of B cell activation;regulation of B cell proliferation;regulation of biological process;regulation of biosynthetic process;regulation of cell activation;regulation of cell death;regulation of cell proliferation;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of gene expression;regulation of immune system process;regulation of leukocyte activation;regulation of leukocyte proliferation;regulation of lymphocyte activation;regulation of lymphocyte proliferation;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of mononuclear cell proliferation;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of programmed cell death;regulation of RNA metabolic process;regulation of transcription, DNA-dependent;response to calcium ion;response to chemical stimulus;response to inorganic substance;response to metal ion;response to stimulus;response to stress;RNA biosynthetic process;RNA metabolic process;transcription, DNA-dependent;xenobiotic metabolic process","binding;binding, bridging;calcium ion binding;calcium-dependent protein binding;cation binding;DNA binding;heat shock protein binding;Hsp90 protein binding;ion binding;ligand-dependent nuclear receptor activity;metal ion binding;molecular transducer activity;nucleic acid binding;protein binding;protein dimerization activity;protein heterodimerization activity;receptor activity;regulatory region DNA binding;regulatory region nucleic acid binding;signal transducer activity;signaling receptor activity;transcription factor binding;transcription regulatory region DNA binding",aryl hydrocarbon receptor complex;cell part;cytoplasm;cytoplasmic part;cytosolic aryl hydrocarbon receptor complex;cytosolic part;endoplasmic reticulum membrane;endoplasmic reticulum part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane part;membrane-bounded organelle;nuclear membrane;nuclear part;nucleoplasm part;nucleus;organelle;organelle membrane;organelle part;protein complex;receptor complex;transcription factor complex
SRRM1,11.31841667,11.13638667,11.31565667,22.53305667,19.95985333,23.58246667,"biosynthetic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;establishment of localization;establishment of localization in cell;establishment of RNA localization;intracellular transport;macromolecule metabolic process;metabolic process;mRNA 3'-end processing;mRNA export from nucleus;mRNA metabolic process;mRNA processing;mRNA transport;nitrogen compound metabolic process;nuclear export;nuclear mRNA splicing, via spliceosome;nuclear transport;nucleic acid metabolic process;nucleic acid transport;nucleobase-containing compound metabolic process;nucleobase-containing compound transport;nucleocytoplasmic transport;primary metabolic process;RNA 3'-end processing;RNA biosynthetic process;RNA export from nucleus;RNA metabolic process;RNA processing;RNA splicing;RNA splicing, via transesterification reactions;RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;RNA transport;termination of RNA polymerase II transcription;transcription termination, DNA-dependent;transport",binding;DNA binding;nucleic acid binding;RNA binding,catalytic step 2 spliceosome;cell part;cytoplasmic part;cytosol;intracellular organelle part;intracellular part;macromolecular complex;nuclear body;nuclear matrix;nuclear part;nuclear speck;nucleoplasm part;organelle part;ribonucleoprotein complex;spliceosomal complex
YWHAZ,13.20482667,13.08320667,13.13777667,31.95904333,29.54149667,31.92734333,anti-apoptosis;biological regulation;cell activation;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular response to stimulus;gene expression;macromolecule metabolic process;metabolic process;mRNA metabolic process;negative regulation of apoptosis;negative regulation of biological process;negative regulation of cell death;negative regulation of cellular process;negative regulation of programmed cell death;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;platelet activation;primary metabolic process;regulation of apoptosis;regulation of biological process;regulation of cell death;regulation of cellular process;regulation of programmed cell death;response to stimulus;RNA metabolic process;signal transduction,"binding;catalytic activity;kinase activity;monooxygenase activity;oxidoreductase activity;protein binding;transcription factor binding;transferase activity;transferase activity, transferring phosphorus-containing groups",cell part;cytoplasmic membrane-bounded vesicle;cytoplasmic part;cytoplasmic vesicle;cytosol;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;melanosome;membrane-bounded organelle;membrane-bounded vesicle;nuclear part;nucleoplasm;organelle;organelle part;pigment granule;vesicle
NAA50,13.74572333,13.71781,13.81339333,28.20348667,25.66976,28.26093667,cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;macromolecule metabolic process;macromolecule modification;metabolic process;N-terminal protein amino acid acetylation;N-terminal protein amino acid modification;primary metabolic process;protein acetylation;protein acylation;protein metabolic process;protein modification process,"acetyltransferase activity;binding;catalytic activity;N-acetyltransferase activity;N-acyltransferase activity;protein binding;transferase activity;transferase activity, transferring acyl groups;transferase activity, transferring acyl groups other than amino-acyl groups",cell part;cytoplasm;intracellular part
STRAP,11.78581,11.63034667,11.64738667,29.07612333,26.37955,29.21182333,cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule metabolic process;metabolic process;mRNA metabolic process;mRNA processing;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;RNA metabolic process;RNA processing;RNA splicing,"catalytic activity;kinase activity;receptor activity;transferase activity;transferase activity, transferring phosphorus-containing groups",cell junction;cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane-bounded organelle;mitochondrion;nuclear part;nucleus;organelle;organelle part;plasma membrane;ribonucleoprotein complex;spliceosomal complex
PFKFB3,9.805724667,9.919258333,10.01929867,25.21422,21.93259667,25.46475667,"alcohol biosynthetic process;alcohol catabolic process;alcohol metabolic process;biological regulation;biosynthetic process;carbohydrate biosynthetic process;carbohydrate catabolic process;carbohydrate metabolic process;catabolic process;cellular biosynthetic process;cellular carbohydrate biosynthetic process;cellular carbohydrate catabolic process;cellular carbohydrate metabolic process;cellular metabolic process;cellular process;cellular response to stimulus;energy derivation by oxidation of organic compounds;energy reserve metabolic process;fructose 2,6-bisphosphate metabolic process;fructose metabolic process;generation of precursor metabolites and energy;gluconeogenesis;glucose catabolic process;glucose metabolic process;glycolysis;hexose biosynthetic process;hexose catabolic process;hexose metabolic process;intracellular protein kinase cascade;intracellular signal transduction;metabolic process;monosaccharide biosynthetic process;monosaccharide catabolic process;monosaccharide metabolic process;oxidation-reduction process;primary metabolic process;regulation of biological process;regulation of cellular process;response to stimulus;signal transduction;small molecule biosynthetic process;small molecule catabolic process;small molecule metabolic process","6-phosphofructo-2-kinase activity;adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;carbohydrate kinase activity;carbohydrate phosphatase activity;catalytic activity;enzyme binding;fructose-2,6-bisphosphate 2-phosphatase activity;hydrolase activity;hydrolase activity, acting on ester bonds;kinase activity;kinase binding;nucleotide binding;phosphatase activity;phosphofructokinase activity;phosphoric ester hydrolase activity;phosphotransferase activity, alcohol group as acceptor;protein binding;protein kinase binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;sugar-phosphatase activity;transferase activity;transferase activity, transferring phosphorus-containing groups","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 complex;cell part;cytoplasmic part;cytosol;cytosolic part;intracellular part;macromolecular complex;protein complex"
MYO1G,6.643902,6.327351333,6.590687,24.40550333,21.96240667,24.85339333,,"actin binding;adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;calmodulin binding;catalytic activity;cytoskeletal protein binding;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;motor activity;nucleoside-triphosphatase activity;nucleotide binding;protein binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding",cell part;cytoskeletal part;intracellular organelle part;intracellular part;macromolecular complex;membrane;myosin complex;organelle part;plasma membrane;protein complex
CBX8,9.669639333,10.00899,9.985490333,23.90596,21.45111,23.91079667,"biological regulation;biosynthetic process;cellular biosynthetic process;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;chromatin modification;chromatin organization;chromosome organization;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;negative regulation of biological process;negative regulation of biosynthetic process;negative regulation of cellular biosynthetic process;negative regulation of cellular macromolecule biosynthetic process;negative regulation of cellular metabolic process;negative regulation of cellular process;negative regulation of gene expression;negative regulation of macromolecule biosynthetic process;negative regulation of macromolecule metabolic process;negative regulation of metabolic process;negative regulation of nitrogen compound metabolic process;negative regulation of nucleobase-containing compound metabolic process;negative regulation of RNA metabolic process;negative regulation of transcription from RNA polymerase II promoter;negative regulation of transcription, DNA-dependent;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;organelle organization;primary metabolic process;regulation of biological process;regulation of biosynthetic process;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of gene expression;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of RNA metabolic process;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;RNA biosynthetic process;RNA metabolic process;transcription, DNA-dependent",binding;histone binding;methylated histone residue binding;protein binding,cell part;chromatin;chromosomal part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;nuclear chromatin;nuclear chromosome part;nuclear part;nucleus;organelle;organelle part;PcG protein complex;PRC1 complex;protein complex
NUP50,9.983139333,9.930034667,10.23941667,25.80813333,23.46876667,25.45538,biological regulation;carbohydrate metabolic process;carbohydrate transport;cell surface receptor linked signaling pathway;cellular process;cellular response to chemical stimulus;cellular response to cytokine stimulus;cellular response to organic substance;cellular response to stimulus;cytokine-mediated signaling pathway;establishment of localization;establishment of localization in cell;establishment of protein localization;establishment of RNA localization;glucose transport;hexose transport;intracellular transport;metabolic process;monosaccharide transport;mRNA transport;nucleic acid transport;nucleobase-containing compound transport;organic substance transport;primary metabolic process;protein transport;regulation of biological process;regulation of cellular process;regulation of glucose transport;regulation of localization;regulation of transport;response to chemical stimulus;response to cytokine stimulus;response to organic substance;response to stimulus;RNA transport;signal transduction;small molecule metabolic process;transmembrane transport;transport;viral reproduction,binding;protein binding,cell part;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane part;nuclear membrane;nuclear part;nuclear pore;nucleoplasm;organelle membrane;organelle part;pore complex;protein complex
MKL2,9.514949333,9.322508333,9.607268667,22.16434,19.14534,22.00567,"anatomical structure development;biological regulation;biosynthetic process;cell differentiation;cellular biosynthetic process;cellular developmental process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;developmental process;interspecies interaction between organisms;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;multi-organism process;muscle cell differentiation;muscle organ development;muscle structure development;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;organ development;positive regulation of biological process;positive regulation of biosynthetic process;positive regulation of cellular biosynthetic process;positive regulation of cellular metabolic process;positive regulation of cellular process;positive regulation of developmental process;positive regulation of gene expression;positive regulation of macromolecule biosynthetic process;positive regulation of macromolecule metabolic process;positive regulation of metabolic process;positive regulation of muscle organ development;positive regulation of nitrogen compound metabolic process;positive regulation of nucleobase-containing compound metabolic process;positive regulation of RNA metabolic process;positive regulation of striated muscle tissue development;positive regulation of transcription from RNA polymerase II promoter;positive regulation of transcription, DNA-dependent;primary metabolic process;regulation of biological process;regulation of biosynthetic process;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of developmental process;regulation of gene expression;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of multicellular organismal development;regulation of multicellular organismal process;regulation of muscle organ development;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of RNA metabolic process;regulation of striated muscle tissue development;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;RNA biosynthetic process;RNA metabolic process;smooth muscle cell differentiation;transcription, DNA-dependent",actin binding;actin monomer binding;binding;cytoskeletal protein binding;leucine zipper domain binding;LRR domain binding;nucleic acid binding;nucleotide binding;protein binding;protein binding transcription factor activity;protein domain specific binding;RNA binding;transcription coactivator activity;transcription cofactor activity;transcription factor binding transcription factor activity,cell part;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle
EIF3L,13.33180667,13.25987333,13.25863333,27.76006667,25.57124333,28.01620333,,"binding;nucleic acid binding;protein binding;RNA binding;translation factor activity, nucleic acid binding;translation initiation factor activity",cell part;cytoplasmic part;eukaryotic translation initiation factor 3 complex;intracellular part;macromolecular complex;protein complex
EIF3D,14.02589333,14.08195667,14.01060333,27.07172,23.50473667,27.49651667,,"binding;nucleic acid binding;protein binding;RNA binding;translation factor activity, nucleic acid binding;translation initiation factor activity",cell part;cytoplasmic part;cytosol;eukaryotic translation initiation factor 3 complex;intracellular part;macromolecular complex;protein complex
CDC42EP1,10.55965667,10.78701667,11.01512,22.57461333,20.78138667,22.43910333,biological regulation;positive regulation of biological process;positive regulation of cell projection organization;positive regulation of cellular component organization;positive regulation of cellular process;positive regulation of pseudopodium assembly;regulation of anatomical structure morphogenesis;regulation of biological process;regulation of biological quality;regulation of cell morphogenesis;regulation of cell projection assembly;regulation of cell projection organization;regulation of cell shape;regulation of cellular component biogenesis;regulation of cellular component organization;regulation of cellular process;regulation of developmental process;regulation of pseudopodium assembly,binding;protein binding,actin cytoskeleton;cell part;cytoplasmic part;cytoskeleton;endomembrane system;Golgi apparatus;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular part;membrane;membrane-bounded organelle;non-membrane-bounded organelle;organelle;plasma membrane
APOBEC3B,12.32318667,12.30863667,12.41523667,24.41689333,22.54669667,25.32528667,"base conversion or substitution editing;biological regulation;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular response to chemical stimulus;cellular response to stimulus;cellular response to xenobiotic stimulus;clearance of foreign intracellular DNA;clearance of foreign intracellular DNA by conversion of DNA cytidine to uridine;defense response;defense response to virus;demethylation;DNA cytosine deamination;DNA dealkylation;DNA deamination;DNA demethylation;DNA metabolic process;DNA modification;immune effector process;immune response;immune system process;innate immune response;macromolecule metabolic process;macromolecule modification;metabolic process;multi-organism process;negative regulation of biological process;negative regulation of cellular process;negative regulation of reproductive process;negative regulation of retroviral genome replication;negative regulation of transposition;negative regulation of viral genome replication;negative regulation of viral reproduction;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;one-carbon metabolic process;positive regulation of defense response to virus by host;primary metabolic process;regulation of biological process;regulation of cellular process;regulation of defense response;regulation of defense response to virus;regulation of defense response to virus by host;regulation of gene expression;regulation of gene expression, epigenetic;regulation of immune effector process;regulation of immune system process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of multi-organism process;regulation of reproductive process;regulation of response to biotic stimulus;regulation of response to stimulus;regulation of response to stress;regulation of retroviral genome replication;regulation of transposition;regulation of viral genome replication;regulation of viral reproduction;response to biotic stimulus;response to chemical stimulus;response to other organism;response to stimulus;response to stress;response to virus;response to xenobiotic stimulus;RNA metabolic process;RNA modification;small molecule metabolic process","binding;catalytic activity;cation binding;cytidine deaminase activity;deaminase activity;hydrolase activity;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines;ion binding;metal ion binding;nucleic acid binding;RNA binding;transition metal ion binding;zinc ion binding",apolipoprotein B mRNA editing enzyme complex;cell part;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;nuclear part;nucleus;organelle;organelle part;protein complex
PACSIN2,11.12495,10.75078333,11.16929667,26.22011333,23.46136,26.15802,actin cytoskeleton organization;actin filament-based process;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular membrane organization;cellular process;cytoskeleton organization;endocytosis;establishment of localization;membrane invagination;membrane organization;organelle organization;transport;vesicle-mediated transport,"catalytic activity;kinase activity;transferase activity;transferase activity, transferring phosphorus-containing groups;transporter activity",cell part;cytoplasmic membrane-bounded vesicle;cytoplasmic part;cytoplasmic vesicle;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;membrane-bounded vesicle;organelle;vesicle
EWSR1,10.60941667,10.29094,10.42991667,27.09953,24.75248,27.36158,"biological regulation;biosynthetic process;cellular biosynthetic process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;regulation of biological process;regulation of biosynthetic process;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of gene expression;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of RNA metabolic process;regulation of transcription, DNA-dependent;RNA biosynthetic process;RNA metabolic process;transcription, DNA-dependent",binding;calmodulin binding;cation binding;ion binding;metal ion binding;nucleic acid binding;nucleotide binding;protein binding;RNA binding;transition metal ion binding;zinc ion binding,cell part;cytoplasm;intracellular;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane;membrane-bounded organelle;nucleus;organelle;plasma membrane
UBE2I,9.253099333,9.380466667,9.287982333,29.50196667,26.96871,29.65000667,"biological regulation;cell cycle phase;cell cycle process;cell division;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;chromosome segregation;interspecies interaction between organisms;macromolecule metabolic process;macromolecule modification;metabolic process;mitosis;multi-organism process;negative regulation of biological process;negative regulation of biosynthetic process;negative regulation of cellular biosynthetic process;negative regulation of cellular macromolecule biosynthetic process;negative regulation of cellular metabolic process;negative regulation of cellular process;negative regulation of gene expression;negative regulation of macromolecule biosynthetic process;negative regulation of macromolecule metabolic process;negative regulation of metabolic process;negative regulation of nitrogen compound metabolic process;negative regulation of nucleobase-containing compound metabolic process;negative regulation of RNA metabolic process;negative regulation of transcription from RNA polymerase II promoter;negative regulation of transcription, DNA-dependent;nuclear division;organelle fission;organelle organization;primary metabolic process;protein metabolic process;protein modification by small protein conjugation;protein modification by small protein conjugation or removal;protein modification process;protein sumoylation;regulation of biological process;regulation of biosynthetic process;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of gene expression;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of RNA metabolic process;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent","acid-amino acid ligase activity;adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;catalytic activity;enzyme binding;ligase activity;ligase activity, forming carbon-nitrogen bonds;nucleotide binding;protein binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;small conjugating protein ligase activity;ubiquitin-protein ligase activity",cell part;chromosomal part;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane-bounded organelle;nuclear body;nuclear chromosome part;nuclear part;nucleoplasm part;nucleus;organelle;organelle part;PML body;synaptonemal complex
PARVB,10.71989667,10.73563333,10.76466333,19.31299333,17.132425,20.83153,biological adhesion;cell adhesion;cell junction assembly;cell junction organization;cellular component assembly;cellular component assembly at cellular level;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular process,actin binding;binding;cytoskeletal protein binding;protein binding,adherens junction;anchoring junction;cell junction;cell part;cell-substrate adherens junction;cell-substrate junction;cytoplasmic part;cytoskeleton;cytosol;focal adhesion;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular part;non-membrane-bounded organelle;organelle
GGA1,10.52959333,10.3375,10.51681333,21.5039,18.93451667,21.71987,cellular process;establishment of localization;establishment of localization in cell;establishment of protein localization;intracellular protein transport;intracellular transport;protein transport;transport;vesicle-mediated transport,ADP-ribosylation factor binding;binding;enzyme binding;GTPase binding;protein binding;small GTPase binding,AP-type membrane coat adaptor complex;cell part;clathrin adaptor complex;clathrin-coated vesicle;coated vesicle;cytoplasmic membrane-bounded vesicle;cytoplasmic part;cytoplasmic vesicle;endosomal part;endosome membrane;Golgi apparatus part;intracellular;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane part;membrane-bounded organelle;membrane-bounded vesicle;organelle;organelle membrane;organelle part;protein complex;trans-Golgi network;vesicle
RANGAP1,10.66091,10.91535333,11.12024,27.98863333,25.11971333,28.14397333,biological regulation;cell cycle phase;cell cycle process;cellular process;cellular response to stimulus;mitotic prometaphase;negative regulation of biological process;negative regulation of intracellular protein transport;negative regulation of intracellular transport;negative regulation of nucleocytoplasmic transport;negative regulation of protein export from nucleus;negative regulation of protein transport;negative regulation of transport;regulation of biological process;regulation of cellular localization;regulation of cellular process;regulation of establishment of protein localization;regulation of intracellular protein transport;regulation of intracellular transport;regulation of localization;regulation of nucleocytoplasmic transport;regulation of protein export from nucleus;regulation of protein localization;regulation of protein transport;regulation of transport;response to stimulus;signal transduction,binding;enzyme activator activity;enzyme regulator activity;GTPase activator activity;GTPase regulator activity;nucleoside-triphosphatase regulator activity;protein binding;Ran GTPase activator activity;Ras GTPase activator activity;small GTPase regulator activity,cell fraction;cell part;chromosomal part;condensed chromosome kinetochore;cytoplasmic part;cytoskeletal part;cytosol;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;kinetochore;macromolecular complex;membrane;membrane part;non-membrane-bounded organelle;nuclear membrane;nuclear part;nuclear pore;organelle;organelle membrane;organelle part;pore complex;protein complex;soluble fraction;spindle pole
